division,match_id,match_number,league,stage,date,start_time_ist,venue,city,home_team,home_score,away_team,away_score,winning_team,winning_margin,result_text,toss,referee,player_of_the_match,status
Women,156,1,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-16,20:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,24,Delhi Redz,24,,0,Match Tied(24-24),Chennai Bulls Choosed to End of the Field,Chui Yan Lee,,Match Completed
Women,157,2,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-16,21:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Kolkata Banga Tigers,31,Mumbai Dreamers,19,Kolkata Banga Tigers,12,Kolkata Banga Tigers Beat Mumbai Dreamers  (31-19 ),Mumbai Dreamers Choosed to Kick Off,Kathleen Roche,,Match Completed
Women,158,3,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-17,20:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,26,Kolkata Banga Tigers,33,Kolkata Banga Tigers,7,Kolkata Banga Tigers Beat Chennai Bulls  (33-26 ),Chennai Bulls Choosed to Kick Off,Kathleen Roche,,Match Completed
Women,159,4,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-17,21:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Delhi Redz,19,Mumbai Dreamers,21,Mumbai Dreamers,2,Mumbai Dreamers Beat Delhi Redz  (21-19 ),Mumbai Dreamers Choosed to Kick Off,Chui Yan Lee,,Match Completed
Women,160,5,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-18,20:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Chennai Bulls,26,Mumbai Dreamers,26,,0,Match Tied(26-26),Chennai Bulls Choosed to Kick Off,Chui Yan Lee,,Match Completed
Women,161,6,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-18,20:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Delhi Redz,24,Kolkata Banga Tigers,5,Delhi Redz,19,Delhi Redz Beat Kolkata Banga Tigers  (24-5 ),Kolkata Banga Tigers Choosed to End of the Field,Kathleen Roche,,Match Completed
Women,162,7,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-19,20:15,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Delhi Redz,27,Chennai Bulls,31,Chennai Bulls,4,Chennai Bulls Beat Delhi Redz  (31-27 ),Chennai Bulls Choosed to Kick Off,Kathleen Roche,,Match Completed
Women,163,8,Rugby Premier League Season 1 (Womens) 2026,League,2026-06-19,20:45,"G. M. C. Balayogi Athletic Stadium Gachibowli, Hyderabad",Hyderabad,Mumbai Dreamers,5,Kolkata Banga Tigers,19,Kolkata Banga Tigers,14,Kolkata Banga Tigers Beat Mumbai Dreamers  (19-5 ),Mumbai Dreamers Choosed to Kick Off,Chui Yan Lee,,Match Completed
