gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Sarah Gossman,Kolkata Banga Tigers,Forward,1,1,9
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Kyra Vincent,Kolkata Banga Tigers,Wing,1,1,10
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Grace Okulu,Mumbai Dreamers,Back,1,1,11
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Arti Kumari,Mumbai Dreamers,Wing,1,1,12
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Isadora Lopes,Delhi Redz,Back,1,1,13
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Eden Kilgour,Delhi Redz,Back,1,1,14
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Shikha Yadav,Delhi Redz,Forward,1,1,15
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Vaishnavi Patil,Delhi Redz,Prop,1,1,16
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Yasmim Soares,Mumbai Dreamers,Back,1,1,17
Women,player,Most Offloads,7,Minimum 1 Offload in a match,Bhumika Shukla,Mumbai Dreamers,Centre,1,1,18
Women,player,Most Points,4,Minimum 1 Point in a match,Nia Imani Toliver,Kolkata Banga Tigers,Back,1,15,1
Women,player,Most Points,4,Minimum 1 Point in a match,Savannah Bauder,Chennai Bulls,Fly Half,1,14,2
Women,player,Most Points,4,Minimum 1 Point in a match,Sofia Gonzalez,Kolkata Banga Tigers,Back,1,12,3
Women,player,Most Points,4,Minimum 1 Point in a match,Lavena Cavuru,Delhi Redz,Back,1,9,4
Women,player,Most Points,4,Minimum 1 Point in a match,Amandeep Kaur,Chennai Bulls,Prop,1,5,5
Women,player,Most Points,4,Minimum 1 Point in a match,Zintle Mpupha,Delhi Redz,Back,1,5,6
Women,player,Most Points,4,Minimum 1 Point in a match,Rima Oraon,Delhi Redz,Flyhalf,1,5,7
Women,player,Most Points,4,Minimum 1 Point in a match,Grace Okulu,Mumbai Dreamers,Back,1,5,8
Women,player,Most Points,4,Minimum 1 Point in a match,Isadora Lopes,Delhi Redz,Back,1,5,9
Women,player,Most Points,4,Minimum 1 Point in a match,Yasmim Soares,Mumbai Dreamers,Back,1,5,10
Women,player,Most Points,4,Minimum 1 Point in a match,Bhumika Shukla,Mumbai Dreamers,Centre,1,5,11
Women,player,Most Points,4,Minimum 1 Point in a match,Adia Pye,Chennai Bulls,Back,1,5,12
Women,player,Most Points,4,Minimum 1 Point in a match,Parbati Hansdah,Kolkata Banga Tigers,Scrumhalf,1,4,13
Women,player,Most Points,4,Minimum 1 Point in a match,Marianela Escalente,Mumbai Dreamers,Back,1,4,14
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Carmen Izyk,Chennai Bulls,Back,1,7,1
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Savannah Bauder,Chennai Bulls,Fly Half,1,6,2
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Yasmim Soares,Mumbai Dreamers,Back,1,5,3
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Marianela Escalente,Mumbai Dreamers,Back,1,4,4
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Sandhyarani Tudu,Chennai Bulls,Centre,1,3,5
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Amandeep Kaur,Chennai Bulls,Prop,1,3,6
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Zintle Mpupha,Delhi Redz,Back,1,3,7
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Sofia Gonzalez,Kolkata Banga Tigers,Back,1,3,8
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Chantelle Miell,Chennai Bulls,Forward,1,2,9
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Guriya Kumari,Delhi Redz,Scrumhalf,1,2,10
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Sarah Gossman,Kolkata Banga Tigers,Forward,1,2,11
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Parbati Hansdah,Kolkata Banga Tigers,Scrumhalf,1,2,12
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Larah Wright,Chennai Bulls,Back,1,2,13
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Sandhya Rai,Chennai Bulls,Flyhalf,1,2,14
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Silika Qalo,Delhi Redz,Back,1,2,15
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Eden Kilgour,Delhi Redz,Back,1,2,16
Women,player,Most Tackles,3,Minimum 1 Tackle in a match,Nia Imani Toliver,Kolkata Banga Tigers,Back,1,2,17
