gender,entity_level,stat,stat_id,minimum_criteria,player_name,team,position,matches_played,value,rank
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Wolfram Hacker,Hyderabad Heroes,Hybrid,1,3,14
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Ben Lasiel,Mumbai Dreamers,Utility,1,3,15
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Jonas Mikalcius,Bengaluru Bravehearts,Back,1,3,16
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Shilton Van Wyk,Bengaluru Bravehearts,Utility Back,1,2,17
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Impi Visser,Mumbai Dreamers,Center,1,2,18
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Regan Ware,Hyderabad Heroes,Hybrid,1,2,19
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Michael Icely,Chennai Bulls,Flanker,1,2,20
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Patrick Odongo Okongo,Delhi Redz,Back,1,2,21
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Aaron Cummings,Kolkata Banga Tigers,Forward,1,2,22
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Diego Ardao,Hyderabad Heroes,Forward,1,2,23
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Liam Poulton,Mumbai Dreamers,Back,1,2,24
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Manuel Moreno,Hyderabad Heroes,Forward,1,2,25
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Prince Khatri,Mumbai Dreamers,Back,1,2,26
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Sambit Pradhan,Hyderabad Heroes,Forward,1,2,27
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Devendra Padir,Bengaluru Bravehearts,Forward,1,2,28
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Motu Opetai,Bengaluru Bravehearts,Hybrid,1,2,29
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Taualai Panoa,Chennai Bulls,Forward,1,2,30
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Jon Okoth Okeyo,Delhi Redz,Forward,1,2,31
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Santiago Alvarez,Chennai Bulls,Center,1,1,32
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Sebastiaan Jobb,Mumbai Dreamers,Right Wing,1,1,33
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Francisco Cosculluela,Hyderabad Heroes,inside Center,1,1,34
Men,player,Most Tackles,3,Minimum 1 Tackle in a match,Josep Serres,Delhi Redz,Right Wing,1,1,35
